human	occupation
23	901
23	28640
23	47064
23	81096
23	82955
23	131512
23	189290
23	192581
23	327055
23	372436
23	483501
23	702269
23	703534
23	901402
23	1250916
23	1414937
23	1650915
23	1734662
23	2500638
23	3391743
23	4164871
23	5352191
23	6958747
23	10076267
23	11424604
23	11699606
23	16869121
23	20826540
23	24229398
23	61022630
42	28389
42	33999
42	36180
42	214917
42	245068
42	327055
42	482980
42	483501
42	702269
42	713200
42	2500638
42	4853732
42	6625963
42	18844224
42	24229398
42	28225718
76	36180
76	40348
76	82955
76	185351
76	327055
76	372436
76	482980
76	483501
76	702269
76	2500638
76	15253558
76	15980158
76	24229398
80	901
80	28640
80	37226
80	43845
80	81096
80	82594
80	169470
80	183888
80	192581
80	205375
80	327055
80	482980
80	483501
80	702269
80	974144
80	1572123
80	1622272
80	1650915
80	1709010
80	2500638
80	3400985
80	4359236
80	5157565
80	5428874
80	5482740
80	6958747
80	20826540
80	24229398
91	28640
91	40348
91	47064
91	82955
91	131512
91	185351
91	189290
91	192581
91	212238
91	327055
91	372436
91	572700
91	599151
91	702269
91	703534
91	978044
91	1162163
91	1250916
91	1251441
91	1414937
91	2462658
91	4164871
91	6958747
91	16532929
91	24229398
91	25713832
91	61022630
91	80363469
157	40348
157	82955
157	185351
157	212238
157	327055
157	372436
157	572700
157	599151
157	702269
157	703534
157	978044
157	1162163
157	1251441
157	2462658
157	4594605
157	16532929
157	24229398
157	25713832
157	80363469
181	901
181	28640
181	36180
181	43845
181	82594
181	131524
181	192581
181	327055
181	482980
181	483501
181	702269
181	1650915
181	2500638
181	5157565
181	6958747
181	8246794
181	20826540
181	24229398
185	901
185	28640
185	36180
185	43845
185	82594
185	192581
185	327055
185	482980
185	483501
185	702269
185	1650915
185	2500638
185	4964182
185	5157565
185	6958747
185	8246794
185	16727193
185	20826540
185	24229398
186	901
186	28640
186	36180
186	81096
186	82594
186	192581
186	327055
186	482980
186	483501
186	702269
186	1572123
186	1650915
186	1709010
186	2500638
186	4197743
186	5157565
186	5165152
186	6958747
186	8246794
186	15980158
186	15980804
186	18536342
186	20826540
186	24229398
192	82955
192	327055
192	702269
192	24229398
